Date,Time,Announce,Caption
,16:27:00,04 課題終了一分前.wav,終了1分前です
,16:28:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,16:30:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,16:31:00,02 課題読む.wav,課題を読んでください
,16:33:00,03 課題開始.wav,課題を始めてください
,16:37:00,04 課題終了一分前.wav,終了1分前です
,16:38:00,13 課題終了_フィードバック開始.wav,課題をやめて、フィードバックを開始してください
,16:40:00,14 フィードバック終了_移動開始.wav,フィードバックをやめて、移動を開始してください
,16:41:00,0,
,16:43:00,0,
,16:47:00,0,
,16:48:00,0,
,16:50:00,0,
