Date,Time,Announce,Caption
,9:11:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,9:15:00,11_開始5分前.mp3,開始5分前です
,9:19:00,13_開始1分前.mp3,開始1分前です
,9:20:00,01_移動開始.mp3,入室してください
,9:21:00,02_課題閲覧.mp3,課題を読んでください
,9:23:00,03_課題開始.mp3,課題を始めてください
,9:27:00,04_課題終了1分前.mp3,終了1分前です
,9:28:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,9:31:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,9:32:00,01_移動開始.mp3,入室してください
,9:33:00,02_課題閲覧.mp3,課題を読んでください
,9:35:00,03_課題開始.mp3,課題を始めてください
,9:39:00,04_課題終了1分前.mp3,終了1分前です
,9:40:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,9:43:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,9:44:00,01_移動開始.mp3,入室してください
,9:45:00,02_課題閲覧.mp3,課題を読んでください
,9:47:00,03_課題開始.mp3,課題を始めてください
,9:51:00,04_課題終了1分前.mp3,終了1分前です
,9:52:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,9:55:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,9:56:00,01_移動開始.mp3,入室してください
,9:57:00,02_課題閲覧.mp3,課題を読んでください
,9:59:00,03_課題開始.mp3,課題を始めてください
,10:03:00,04_課題終了1分前.mp3,終了1分前です
,10:04:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,10:07:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,10:08:00,01_移動開始.mp3,入室してください
,10:09:00,02_課題閲覧.mp3,課題を読んでください
,10:11:00,03_課題開始.mp3,課題を始めてください
,10:15:00,04_課題終了1分前.mp3,終了1分前です
,10:16:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,10:19:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,10:20:00,01_移動開始.mp3,入室してください
,10:21:00,02_課題閲覧.mp3,課題を読んでください
,10:23:00,03_課題開始.mp3,課題を始めてください
,10:27:00,04_課題終了1分前.mp3,終了1分前です
,10:28:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
,10:31:00,06_FB終了_移動開始.mp3,フィードバックを終了し、移動を開始してください
,10:31:15,21_休憩1050.mp3,休憩時間に入ります。10時50分にはお戻りください。
,10:55:00,11_開始5分前.mp3,開始5分前です
,10:59:00,13_開始1分前.mp3,開始1分前です
,11:00:00,01_移動開始.mp3,入室してください
,11:01:00,02_課題閲覧.mp3,課題を読んでください
,11:03:00,03_課題開始.mp3,課題を始めてください
,11:07:00,04_課題終了1分前.mp3,終了1分前です
,11:08:00,05_課題終了_FB開始.mp3,課題を終了し、フィードバックを開始してください
